,Number,Borough,Population,Area km2,Population by area
2,101,Altstadt-Süd,27.071,236,11.469
3,102,Neustadt-Süd,37.719,350,13.343
4,103,Altstadt-Nord,17.960,246,7.301
5,104,Neustadt-Nord,28.720,283,8.213
6,105,Deutz,15.563,524,2.968
8,201,Bayenthal,8.473,128,6.600
9,202,Marienburg (Köln),5.636,305,1.848
10,203,Raderberg,5.625,084,6.727
11,204,Raderthal,4.713,321,1.469
12,205,Zollstock,21.122,504,4.195
13,206,Rondorf,9.498,820,1.158
14,207,Hahnwald,2.059,300,687
15,208,Rodenkirchen,15.881,783,2.029
16,209,Weiß,5.697,416,1.369
17,210,Sürth,10.340,346,2.991
18,211,Godorf,2.252,460,490
19,212,Immendorf,2.054,523,393
20,213,Meschenich,7.586,472,1.608
22,301,Klettenberg,10.213,180,5.681
23,302,Sülz,35.475,517,6.856
24,303,Lindenthal,29.116,773,3.765
25,304,Braunsfeld,10.450,167,6.246
26,306,Junkersdorf,12.409,738,1.682
27,305,Müngersdorf,8.071,510,1.583
28,307,Weiden,16.337,365,4.470
29,308,Lövenich,8.378,371,2.258
30,309,Widdersdorf,7.103,559,1.271
32,401,Ehrenfeld,35.322,372,9.491
33,402,Neuehrenfeld,23.356,255,9.158
34,403,Bickendorf,16.209,231,7.017
35,404,Vogelsang,8.088,366,2.208
36,405,Bocklemünd/Mengenich,10.717,493,2.173
37,406,Ossendorf,9.929,681,1.458
39,501,Nippes,33.337,299,11.146
40,502,Mauenheim,5.651,049,11.563
41,503,Riehl,11.236,239,4.700
42,505,Weidenpesch,13.645,391,3.489
43,506,Longerich,13.586,614,2.211
44,504,Niehl,17.593,1207,1.458
45,507,Bilderstöckchen,15.044,376,3.996
47,601,Merkenich,5.680,1220,465
48,602,Fühlingen,2.109,486,434
49,603,Seeberg,11.368,178,6.383
50,604,Heimersdorf,5.973,175,3.422
51,605,Lindweiler,3.519,116,3.042
52,606,Pesch,7.720,283,2.724
53,607,Esch/Auweiler,6.408,761,842
54,608,Volkhoven/Weiler,6.037,435,1.386
55,609,Chorweiler,13.087,192,6.819
56,610,Blumenberg,5.966,322,1.851
57,611,Roggendorf/Thenhoven,4.401,1377,281
58,612,Worringen,9.134,1173,779
60,701,Poll,11.037,517,2.135
61,702,Westhoven,4.546,422,1.078
62,703,Ensen,6.880,162,4.245
63,704,Gremberghoven,2.932,583,503
64,705,Eil,8.849,1624,545
65,706,Porz,13.569,312,4.351
66,707,Urbach,11.929,229,5.203
67,708,Elsdorf,1.353,177,766
68,709,Grengel,5.231,1068,490
69,710,Wahnheide,7.691,288,2.673
70,711,Wahn,6.163,226,2.723
71,712,Lind,3.407,225,1.516
72,713,Libur,1.048,638,164
73,714,Zündorf,12.229,812,1.506
74,715,Langel,3.171,533,595
75,716,Finkenberg,6.483,064,10.164
77,801,Humboldt/Gremberg,14.940,282,5.296
78,802,Kalk,21.154,297,7.115
79,803,Vingst,11.338,112,10.119
80,804,Höhenberg,11.911,220,5.425
81,805,Ostheim,10.704,375,2.857
82,806,Merheim,9.025,381,2.371
83,807,Brück,9.631,750,1.284
84,808,Rath/Heumar,10.966,1309,838
85,809,Neubrück,8.661,110,7.886
87,901,Mülheim,40.707,707,5.760
88,902,Buchforst,7.272,083,8.756
89,903,Buchheim,12.099,286,4.236
90,904,Holweide,20.798,411,5.057
91,905,Dellbrück,21.430,995,2.154
92,906,Höhenhaus,15.128,508,2.980
93,907,Dünnwald,11.779,1085,1.086
94,908,Stammheim,7.473,375,1.995
95,909,Flittard,7.688,774,994
96,,Stadt Köln,1.019.854,40512,2.516
