,Nr.,Name,Einw.,Fläche km²,Einw./ km²,Latitude,Longitude
2,101,Altstadt-Süd,27.071,236,11.469,50.929181150000005,6.955329090575393
3,102,Neustadt-Süd,37.719,350,13.343,50.92655975,6.9404063381425605
4,103,Altstadt-Nord,17.960,246,7.301,50.9422647,6.953187640262971
5,104,Neustadt-Nord,28.720,283,8.213,50.94790635,6.941059308417779
6,105,Deutz,15.563,524,2.968,50.9367586,6.9730461
8,201,Bayenthal,8.473,128,6.600,50.9110582,6.9692379
9,202,Marienburg (Köln),5.636,305,1.848,50.9014892,6.9774565
10,203,Raderberg,5.625,084,6.727,50.9079878,6.9611688
11,204,Raderthal,4.713,321,1.469,50.9006829,6.9548551
12,205,Zollstock,21.122,504,4.195,50.9098693,6.941747
13,206,Rondorf,9.498,820,1.158,50.873124,6.9548745
14,207,Hahnwald,2.059,300,687,50.8738192,6.9789269
15,208,Rodenkirchen,15.881,783,2.029,50.87875,6.981804397809072
16,209,Weiß,5.697,416,1.369,50.8727823,7.0288463
17,210,Sürth,10.340,346,2.991,50.8622727,7.0067734
18,211,Godorf,2.252,460,490,50.8491543,6.9753497
19,212,Immendorf,2.054,523,393,50.85939,6.9578092
20,213,Meschenich,7.586,472,1.608,50.8605854,6.9272589
22,301,Klettenberg,10.213,180,5.681,50.9098095,6.924653
23,302,Sülz,35.475,517,6.856,50.9461789,7.2186151
24,303,Lindenthal,29.116,773,3.765,50.9359354,6.871246459161802
25,304,Braunsfeld,10.450,167,6.246,50.9365109,6.8991826
26,306,Junkersdorf,12.409,738,1.682,50.9317526,6.8551691
27,305,Müngersdorf,8.071,510,1.583,50.940496,6.8793823
28,307,Weiden,16.337,365,4.470,50.938184,6.8307918
29,308,Lövenich,8.378,371,2.258,50.9461062,6.8291207
30,309,Widdersdorf,7.103,559,1.271,50.9649958,6.8308254
32,401,Ehrenfeld,35.322,372,9.491,50.9679925,6.887914431752257
33,402,Neuehrenfeld,23.356,255,9.158,50.958512,6.9243939
34,403,Bickendorf,16.209,231,7.017,50.9598891,6.9011507
35,404,Vogelsang,8.088,366,2.208,50.9561167,6.8801018
36,405,Bocklemünd/Mengenich,10.717,493,2.173,50.976200750000004,6.861162108456186
37,406,Ossendorf,9.929,681,1.458,50.9668722,6.9057465
39,501,Nippes,33.337,299,11.146,50.98864895,6.935727475616647
40,502,Mauenheim,5.651,049,11.563,50.9730394,6.9467311
41,503,Riehl,11.236,239,4.700,50.9639129,6.9768709
42,505,Weidenpesch,13.645,391,3.489,50.9830002,6.9463407
43,506,Longerich,13.586,614,2.211,50.9973239,6.9137131
44,504,Niehl,17.593,1207,1.458,50.9898292,6.9627066
45,507,Bilderstöckchen,15.044,376,3.996,50.9686542,6.9293607
47,601,Merkenich,5.680,1220,465,51.03968165,6.929720594452618
48,602,Fühlingen,2.109,486,434,51.0374403,6.9045188
49,603,Seeberg,11.368,178,6.383,51.0159716,6.9159261
50,604,Heimersdorf,5.973,175,3.422,51.0085973,6.9019033
51,605,Lindweiler,3.519,116,3.042,51.0022776,6.8910636
52,606,Pesch,7.720,283,2.724,50.998412,6.876805
53,607,Esch/Auweiler,6.408,761,842,51.0072869,6.8560808584421
54,608,Volkhoven/Weiler,6.037,435,1.386,51.02011795,6.876162877942109
55,609,Chorweiler,13.087,192,6.819,51.03537,6.892049121238911
56,610,Blumenberg,5.966,322,1.851,51.0369244,6.886195
57,611,Roggendorf/Thenhoven,4.401,1377,281,51.0476601,6.834634677981697
58,612,Worringen,9.134,1173,779,51.0655019,6.8638309
60,701,Poll,11.037,517,2.135,50.9121007,6.988889
61,702,Westhoven,4.546,422,1.078,50.8983209,7.022011
62,703,Ensen,6.880,162,4.245,50.8972015,7.0311515
63,704,Gremberghoven,2.932,583,503,50.9047384,7.0547855
64,705,Eil,8.849,1624,545,50.8954077,7.078521
65,706,Porz,13.569,312,4.351,50.8799229,7.0950744704864315
66,707,Urbach,11.929,229,5.203,50.8809782,7.081889
67,708,Elsdorf,1.353,177,766,50.8724603,7.0820837
68,709,Grengel,5.231,1068,490,50.8798903,7.101859
69,710,Wahnheide,7.691,288,2.673,50.8599107,7.1035217
70,711,Wahn,6.163,226,2.723,50.8588539,7.0854972
71,712,Lind,3.407,225,1.516,50.8489902,7.1024526
72,713,Libur,1.048,638,164,50.8387326,7.0713267
73,714,Zündorf,12.229,812,1.506,50.8659258,7.0429817
74,715,Langel,3.171,533,595,50.8490684,7.0116031
75,716,Finkenberg,6.483,064,10.164,50.8960785,7.0646001
77,801,Humboldt/Gremberg,14.940,282,5.296,50.92560365,7.007675867976797
78,802,Kalk,21.154,297,7.115,50.93596865,7.066924990481073
79,803,Vingst,11.338,112,10.119,50.9329543,7.0212406
80,804,Höhenberg,11.911,220,5.425,50.9410028,7.0262147
81,805,Ostheim,10.704,375,2.857,50.9313927,7.0457361
82,806,Merheim,9.025,381,2.371,50.9504192,7.0485978
83,807,Brück,9.631,750,1.284,50.9456265,7.0795178
84,808,Rath/Heumar,10.966,1309,838,50.9284744,7.099784668081636
85,809,Neubrück,8.661,110,7.886,50.9353894,7.0588929
87,901,Mülheim,40.707,707,5.760,50.9614907,7.0063139
88,902,Buchforst,7.272,083,8.756,50.9505616,7.0054722
89,903,Buchheim,12.099,286,4.236,50.955242,7.0152376
90,904,Holweide,20.798,411,5.057,50.9691898,7.0417215
91,905,Dellbrück,21.430,995,2.154,50.9759208,7.0741062
92,906,Höhenhaus,15.128,508,2.980,50.9830121,7.0245751
93,907,Dünnwald,11.779,1085,1.086,51.0,7.038611
94,908,Stammheim,7.473,375,1.995,50.9863925,6.9893266
95,909,Flittard,7.688,774,994,51.0020492,6.9770862
96,,Stadt Köln,1.019.854,40512,2.516,50.9567195,6.8662818
